Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.878202,0.018101,0.859003,0.819174,0.887402,0.187318,0.187899,0.187899,0.187899,0.187899,-1.444808,1.119016,0.333526
ergo_nonadaptive,0.875123,0.012700,0.881927,0.822081,0.908055,0.178688,0.176277,0.176277,0.176277,0.176277,-1.444995,1.095822,0.311911
ergo_adaptive,0.881188,0.018814,0.869049,0.810374,0.910976,0.019039,0.021400,0.011984,0.000142,0.035326,-1.181638,1.124871,0.419926
bb_ipp,0.886096,0.015362,0.871666,0.831072,0.922517,0.017972,0.018035,0.001603,0.000186,0.018142,-1.127048,1.123058,0.438849
