W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,1.00,30.00,transect,0.855027,0.016314,0.849028,0.798366,0.869158,0.140637,0.029103,0.104312,0.009828,0.055113,1.113755,0.629592
0.00,1.00,30.00,ergo_nonadaptive,0.851090,0.013051,0.852447,0.794682,0.893749,0.131701,0.021236,0.097519,0.010043,0.053839,1.093300,0.656592
0.00,1.00,30.00,ergo_adaptive,0.847148,0.013100,0.833907,0.797845,0.896412,0.128537,0.025702,0.097933,0.010911,0.055556,1.058713,0.661706
0.00,1.00,30.00,bb_ipp,0.850339,0.016230,0.826792,0.786480,0.891343,0.124570,0.042776,0.105276,0.010439,0.074492,1.028577,0.685937
0.50,1.00,30.00,transect,0.855027,0.016314,0.849028,0.798366,0.869158,0.109694,0.050331,0.095608,0.019281,-0.444887,1.113755,0.587711
0.50,1.00,30.00,ergo_nonadaptive,0.851090,0.013051,0.852447,0.794682,0.893749,0.104115,0.049590,0.089468,0.018035,-0.446161,1.093300,0.599074
0.50,1.00,30.00,ergo_adaptive,0.846731,0.017157,0.814104,0.779961,0.899237,0.099992,0.038784,0.089286,0.019572,-0.372384,1.047652,0.638247
0.50,1.00,30.00,bb_ipp,0.876906,0.012818,0.856103,0.829370,0.919104,0.098588,0.045511,0.096896,0.018359,-0.368802,1.001423,0.654162
1.00,1.00,30.00,transect,0.855027,0.016314,0.849028,0.798366,0.869158,0.058755,0.066558,0.073261,0.034075,-0.944887,1.113755,0.472314
1.00,1.00,30.00,ergo_nonadaptive,0.850993,0.013039,0.852447,0.794682,0.893749,0.058007,0.057575,0.068489,0.031787,-0.946389,1.093203,0.461760
1.00,1.00,30.00,ergo_adaptive,0.838332,0.014907,0.824399,0.790052,0.860391,0.050806,0.050360,0.069819,0.034005,-0.773612,1.104141,0.525033
1.00,1.00,30.00,bb_ipp,0.857856,0.013727,0.845286,0.807122,0.878471,0.049463,0.043870,0.074619,0.034532,-0.777170,1.066460,0.548754
1.50,1.00,30.00,transect,0.855027,0.016314,0.849028,0.798366,0.869158,0.021976,0.021359,0.047074,0.030634,-1.444887,1.113755,0.327524
1.50,1.00,30.00,ergo_nonadaptive,0.851090,0.013051,0.852447,0.794682,0.893749,0.025335,0.036092,0.043870,0.029471,-1.446161,1.093300,0.303541
1.50,1.00,30.00,ergo_adaptive,0.832909,0.013476,0.813798,0.791145,0.863172,0.020980,0.028434,0.045071,0.029023,-1.260603,1.146050,0.384348
1.50,1.00,30.00,bb_ipp,0.868889,0.013909,0.864689,0.806124,0.898454,0.017032,0.014591,0.048700,0.029390,-1.379566,1.124182,0.341942
