Strategy,Global_RMSE,Global_RMSE_SEM,Target_RMSE,Target_RMSE_SEM,Weighted_RMSE,Weighted_RMSE_SEM,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.929795,0.045492,1.725419,0.078386,0.936121,0.046057,0.000000,0.000000,-2.114404,1.057117,0.151932
ergo_nonadaptive,0.893861,0.022319,1.568669,0.084966,0.857965,0.022497,0.178688,0.176277,-1.959480,1.087617,0.177389
ergo_adaptive,0.912677,0.023597,1.649252,0.066685,0.892795,0.037321,0.005541,0.010671,-1.814982,1.220085,0.229738
bb_ipp,0.926315,0.039546,1.727399,0.028899,0.954055,0.052247,0.003399,0.005730,-2.044320,1.162647,0.176441
