Strategy,Mean_RMSE,Final_RMSE,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.929795,0.845452,0.000000,0.000000,-2.114404,1.057117,0.151932
ergo_nonadaptive,0.893861,0.934132,0.178688,0.176277,-1.959480,1.087617,0.177389
ergo_adaptive,0.912677,0.851137,0.005541,0.010671,-1.814982,1.220085,0.229738
bb_ipp,0.926315,0.906143,0.003399,0.005730,-2.044320,1.162647,0.176441
