W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,1.00,75.00,transect,0.811716,0.023796,0.771399,0.742848,0.822683,0.112695,0.035008,0.085737,0.017556,0.067430,1.136100,0.613037
0.00,1.00,75.00,ergo_nonadaptive,0.802500,0.015034,0.802302,0.749116,0.836426,0.101711,0.028695,0.075249,0.017443,0.066813,1.107182,0.644303
0.00,1.00,75.00,ergo_adaptive,0.794996,0.015835,0.776881,0.739402,0.837704,0.102499,0.041288,0.077099,0.015637,0.065146,1.002215,0.700833
0.00,1.00,75.00,bb_ipp,0.822866,0.018259,0.796257,0.766892,0.858923,0.105217,0.054655,0.086514,0.018568,0.017993,0.951008,0.731088
0.50,1.00,75.00,transect,0.811716,0.023796,0.771399,0.742848,0.822683,0.085976,0.058042,0.078991,0.033372,-0.432570,1.136100,0.583985
0.50,1.00,75.00,ergo_nonadaptive,0.802500,0.015034,0.802302,0.749116,0.836426,0.077382,0.061499,0.069702,0.031558,-0.433187,1.107182,0.597015
0.50,1.00,75.00,ergo_adaptive,0.795300,0.013629,0.785431,0.737506,0.850949,0.077199,0.060975,0.071626,0.031109,-0.321883,1.032848,0.656638
0.50,1.00,75.00,bb_ipp,0.812411,0.015010,0.793115,0.753240,0.863873,0.078415,0.049775,0.080621,0.029136,-0.268831,0.983174,0.694507
1.00,1.00,75.00,transect,0.811716,0.023796,0.771399,0.742848,0.822683,0.046449,0.060617,0.060066,0.042516,-0.932570,1.136100,0.481555
1.00,1.00,75.00,ergo_nonadaptive,0.802500,0.015034,0.802302,0.749116,0.836426,0.041265,0.043455,0.052897,0.043681,-0.933187,1.107182,0.472283
1.00,1.00,75.00,ergo_adaptive,0.797763,0.019451,0.768848,0.740899,0.805251,0.038937,0.050995,0.057772,0.041744,-0.688355,1.087445,0.574304
1.00,1.00,75.00,bb_ipp,0.837117,0.023431,0.785232,0.762713,0.884128,0.035210,0.045558,0.062101,0.049364,-0.703279,1.066514,0.575577
1.50,1.00,75.00,transect,0.811716,0.023796,0.771399,0.742848,0.822683,0.018894,0.017360,0.037706,0.041278,-1.432570,1.136100,0.342791
1.50,1.00,75.00,ergo_nonadaptive,0.802500,0.015034,0.802302,0.749116,0.836426,0.017333,0.019632,0.032954,0.035150,-1.433187,1.107182,0.317342
1.50,1.00,75.00,ergo_adaptive,0.815782,0.020304,0.788333,0.753226,0.858643,0.015407,0.014376,0.037086,0.039690,-1.190884,1.177415,0.416269
1.50,1.00,75.00,bb_ipp,0.841294,0.020017,0.815721,0.765185,0.884562,0.014560,0.013030,0.038016,0.041184,-1.210248,1.155755,0.398827
