W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.75,30.00,transect,0.894084,0.014930,0.896208,0.842632,0.903466,0.161700,0.169207,0.179141,0.152186,0.188790,0.049648,1.111563,0.629283
0.00,0.75,30.00,ergo_nonadaptive,0.891571,0.012007,0.893980,0.836894,0.930773,0.153494,0.148972,0.152512,0.136982,0.170196,0.049010,1.089187,0.655535
0.00,0.75,30.00,ergo_adaptive,0.886630,0.011358,0.892499,0.842260,0.918687,0.150629,0.133608,0.144361,0.112625,0.161391,0.041603,1.055444,0.664476
0.00,0.75,30.00,bb_ipp,0.905557,0.014204,0.887130,0.849630,0.935561,0.149597,0.138735,0.155536,0.117904,0.165729,0.060022,0.953217,0.716046
0.50,0.75,30.00,transect,0.894084,0.014930,0.896208,0.842632,0.903466,0.127576,0.133861,0.151549,0.104476,0.178242,-0.450352,1.111563,0.587804
0.50,0.75,30.00,ergo_nonadaptive,0.891571,0.012007,0.893980,0.836894,0.930773,0.123688,0.123521,0.122867,0.100930,0.148930,-0.450990,1.089187,0.599043
0.50,0.75,30.00,ergo_adaptive,0.894237,0.013788,0.877564,0.841484,0.916778,0.120918,0.115629,0.124448,0.098348,0.141953,-0.352765,1.054761,0.638864
0.50,0.75,30.00,bb_ipp,0.915985,0.012765,0.905653,0.874942,0.953984,0.115358,0.103184,0.111085,0.067816,0.142625,-0.308172,1.000079,0.670933
1.00,0.75,30.00,transect,0.894084,0.014930,0.896208,0.842632,0.903466,0.067815,0.071917,0.074782,0.025221,0.111520,-0.950352,1.111563,0.474566
1.00,0.75,30.00,ergo_nonadaptive,0.891571,0.012007,0.893980,0.836894,0.930773,0.068405,0.073168,0.071166,0.030223,0.108046,-0.950990,1.089187,0.463072
1.00,0.75,30.00,ergo_adaptive,0.879406,0.012620,0.873296,0.834634,0.910071,0.060887,0.054101,0.039233,0.019288,0.084779,-0.766319,1.088182,0.536234
1.00,0.75,30.00,bb_ipp,0.900326,0.012740,0.876188,0.854641,0.923078,0.053828,0.052902,0.026130,0.010222,0.088321,-0.765453,1.093579,0.542266
1.50,0.75,30.00,transect,0.894084,0.014930,0.896208,0.842632,0.903466,0.022949,0.027248,0.021129,0.001083,0.035739,-1.450352,1.111563,0.328489
1.50,0.75,30.00,ergo_nonadaptive,0.891571,0.012007,0.893980,0.836894,0.930773,0.026942,0.032044,0.017572,0.001409,0.056750,-1.450990,1.089187,0.305176
1.50,0.75,30.00,ergo_adaptive,0.882115,0.012982,0.873764,0.835324,0.923061,0.021179,0.020209,0.003787,0.000140,0.029988,-1.180615,1.117744,0.413654
1.50,0.75,30.00,bb_ipp,0.898645,0.013758,0.890036,0.840081,0.926487,0.019511,0.021362,0.003886,0.000076,0.025966,-1.287397,1.094152,0.371712
