Strategy,Global_RMSE,Global_RMSE_SEM,Target_RMSE,Target_RMSE_SEM,Weighted_RMSE,Weighted_RMSE_SEM,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.878202,0.018101,1.593650,0.047590,0.875769,0.022405,0.000000,0.000000,-1.944808,1.119016,0.199097
ergo_nonadaptive,0.875123,0.012700,1.559071,0.047081,0.862131,0.016872,0.178688,0.176277,-1.944995,1.095822,0.178354
ergo_adaptive,0.878629,0.011977,1.611659,0.040695,0.872095,0.020161,0.007632,0.006063,-1.759740,1.168564,0.252943
bb_ipp,0.900532,0.016926,1.684823,0.037420,0.917457,0.021186,0.008201,0.004317,-1.851737,1.151878,0.216354
