W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,1.00,120.00,transect,0.783053,0.025617,0.745003,0.706598,0.799180,0.101273,0.039693,0.077644,0.014928,0.066950,1.148099,0.608493
0.00,1.00,120.00,ergo_nonadaptive,0.765560,0.016146,0.759926,0.705679,0.807254,0.088733,0.033340,0.065915,0.014598,0.065182,1.112237,0.644110
0.00,1.00,120.00,ergo_adaptive,0.766498,0.015316,0.752055,0.707691,0.820036,0.091528,0.040206,0.068801,0.013601,0.058468,0.958169,0.723081
0.00,1.00,120.00,bb_ipp,0.796404,0.018147,0.758680,0.734927,0.845453,0.095750,0.043361,0.077570,0.018227,0.056079,0.890197,0.766366
0.50,1.00,120.00,transect,0.783053,0.025617,0.745003,0.706598,0.799180,0.076748,0.054977,0.070830,0.034609,-0.433050,1.148099,0.578084
0.50,1.00,120.00,ergo_nonadaptive,0.765560,0.016146,0.759926,0.705679,0.807254,0.066962,0.068870,0.060382,0.032483,-0.434818,1.112237,0.599391
0.50,1.00,120.00,ergo_adaptive,0.767511,0.015947,0.746619,0.701001,0.830755,0.068861,0.071084,0.063080,0.032270,-0.271310,0.999136,0.677582
0.50,1.00,120.00,bb_ipp,0.812883,0.021516,0.789785,0.727984,0.841148,0.071037,0.056931,0.072214,0.036637,-0.296345,0.931467,0.715961
1.00,1.00,120.00,transect,0.783053,0.025617,0.745003,0.706598,0.799180,0.041121,0.057242,0.052873,0.042575,-0.933050,1.148099,0.477636
1.00,1.00,120.00,ergo_nonadaptive,0.765560,0.016146,0.759926,0.705679,0.807254,0.035292,0.042082,0.045079,0.042888,-0.934818,1.112237,0.471781
1.00,1.00,120.00,ergo_adaptive,0.776615,0.024990,0.735744,0.714001,0.800826,0.034440,0.047118,0.050930,0.043680,-0.661847,1.048016,0.593505
1.00,1.00,120.00,bb_ipp,0.808429,0.025141,0.783559,0.717171,0.848291,0.033169,0.042292,0.055928,0.044448,-0.674861,1.093097,0.584263
1.50,1.00,120.00,transect,0.783053,0.025617,0.745003,0.706598,0.799180,0.016820,0.012418,0.032776,0.042545,-1.433050,1.148099,0.341125
1.50,1.00,120.00,ergo_nonadaptive,0.765560,0.016146,0.759926,0.705679,0.807254,0.014629,0.013742,0.027764,0.034006,-1.434818,1.112237,0.314943
1.50,1.00,120.00,ergo_adaptive,0.777707,0.019761,0.759272,0.717284,0.826319,0.013178,0.010062,0.030928,0.041099,-1.177482,1.179228,0.412775
1.50,1.00,120.00,bb_ipp,0.805761,0.022839,0.793858,0.737763,0.828134,0.012513,0.007534,0.033132,0.039565,-1.157321,1.200104,0.433341
