Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.878202,0.018101,0.859003,0.819174,0.887402,0.187318,0.187899,0.187899,0.187899,0.187899,-0.944808,1.119016,0.477065
ergo_nonadaptive,0.875123,0.012700,0.881927,0.822081,0.908055,0.178688,0.176277,0.176277,0.176277,0.176277,-0.944995,1.095822,0.467214
ergo_adaptive,0.872800,0.014433,0.866880,0.819605,0.906347,0.055146,0.047611,0.040927,0.011564,0.082701,-0.691162,1.052507,0.571210
bb_ipp,0.892815,0.017989,0.860456,0.822342,0.955828,0.051442,0.043371,0.020314,0.004304,0.075743,-0.655592,1.044327,0.584147
