Strategy,Global_RMSE,Global_RMSE_SEM,Target_RMSE,Target_RMSE_SEM,Weighted_RMSE,Weighted_RMSE_SEM,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.878202,0.018101,0.618376,0.023508,0.782502,0.014051,0.000000,0.000000,-0.444808,1.119016,0.586060
ergo_nonadaptive,0.875123,0.012700,0.618213,0.019829,0.781951,0.011479,0.178688,0.176277,-0.444995,1.095822,0.597138
ergo_adaptive,0.859700,0.012112,0.654680,0.019024,0.774004,0.011867,0.109234,0.101352,-0.288903,1.044602,0.651855
bb_ipp,0.900847,0.014198,0.753382,0.024044,0.828349,0.013743,0.104418,0.089788,-0.262159,0.977668,0.690951
