W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.75,75.00,transect,0.852134,0.021633,0.814954,0.789149,0.866321,0.133579,0.119816,0.124180,0.109939,0.139157,0.059178,1.129054,0.616601
0.00,0.75,75.00,ergo_nonadaptive,0.843384,0.014117,0.841126,0.797815,0.872119,0.122833,0.107612,0.117981,0.084832,0.124118,0.060709,1.101745,0.643416
0.00,0.75,75.00,ergo_adaptive,0.842780,0.012715,0.840754,0.786364,0.894218,0.124381,0.101038,0.107731,0.087035,0.122313,0.045157,1.035256,0.685204
0.00,0.75,75.00,bb_ipp,0.857897,0.017210,0.849881,0.800479,0.920999,0.130092,0.105510,0.111933,0.095327,0.132064,0.069372,0.910738,0.741541
0.50,0.75,75.00,transect,0.852134,0.021633,0.814954,0.789149,0.866321,0.103318,0.089348,0.094394,0.052241,0.128597,-0.440822,1.129054,0.584926
0.50,0.75,75.00,ergo_nonadaptive,0.843384,0.014117,0.841126,0.797815,0.872119,0.095604,0.086773,0.078054,0.068406,0.109648,-0.439291,1.101745,0.597045
0.50,0.75,75.00,ergo_adaptive,0.838436,0.014856,0.819654,0.778253,0.871768,0.096441,0.085324,0.084589,0.065794,0.104435,-0.267536,1.017711,0.674828
0.50,0.75,75.00,bb_ipp,0.866154,0.016754,0.841900,0.798507,0.894873,0.098143,0.078456,0.070857,0.052342,0.104590,-0.209915,0.940043,0.716740
1.00,0.75,75.00,transect,0.852134,0.021633,0.814954,0.789149,0.866321,0.055015,0.046584,0.041058,0.009124,0.087661,-0.940822,1.129054,0.480869
1.00,0.75,75.00,ergo_nonadaptive,0.843384,0.014117,0.841126,0.797815,0.872119,0.050811,0.050464,0.041988,0.022389,0.069630,-0.939291,1.101745,0.472468
1.00,0.75,75.00,ergo_adaptive,0.852518,0.016636,0.834967,0.796441,0.891042,0.048369,0.041747,0.025054,0.011957,0.059528,-0.632246,1.060352,0.593728
1.00,0.75,75.00,bb_ipp,0.874123,0.020071,0.836487,0.813549,0.893482,0.044719,0.030277,0.010943,0.004828,0.053988,-0.657546,1.058421,0.586778
1.50,0.75,75.00,transect,0.852134,0.021633,0.814954,0.789149,0.866321,0.019800,0.020232,0.006873,0.000351,0.040366,-1.440822,1.129054,0.339651
1.50,0.75,75.00,ergo_nonadaptive,0.843384,0.014117,0.841126,0.797815,0.872119,0.019496,0.020549,0.008487,0.001790,0.023390,-1.439291,1.101745,0.319363
1.50,0.75,75.00,ergo_adaptive,0.854235,0.013771,0.852759,0.808956,0.883687,0.016890,0.012594,0.001691,0.000173,0.018580,-1.105907,1.174423,0.444018
1.50,0.75,75.00,bb_ipp,0.875908,0.018803,0.866788,0.812178,0.901148,0.015418,0.015415,0.003087,0.000443,0.008893,-1.107729,1.176307,0.454216
