W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.20,30.00,transect,0.989228,0.005660,0.989278,0.965736,1.010685,0.231951,0.009344,0.153306,0.007468,0.020684,1.099574,0.636982
0.00,0.20,30.00,ergo_nonadaptive,0.984445,0.004778,0.981383,0.972986,1.005893,0.230413,0.007874,0.152677,0.006647,0.020660,1.074245,0.649780
0.00,0.20,30.00,ergo_adaptive,0.983266,0.004464,0.983195,0.974907,0.996915,0.230179,0.005414,0.152134,0.005844,0.036918,1.093135,0.640376
0.00,0.20,30.00,bb_ipp,0.990632,0.005672,0.989694,0.969961,1.012692,0.231080,0.005153,0.154602,0.006007,0.026844,0.988762,0.692270
0.50,0.20,30.00,transect,0.989228,0.005660,0.989278,0.965736,1.010685,0.196122,0.017329,0.142544,0.008087,-0.479316,1.099574,0.592779
0.50,0.20,30.00,ergo_nonadaptive,0.984445,0.004778,0.981383,0.972986,1.005893,0.197716,0.020321,0.141857,0.007753,-0.479340,1.074245,0.599522
0.50,0.20,30.00,ergo_adaptive,0.989178,0.005592,0.986398,0.969674,1.007264,0.198621,0.019497,0.141847,0.006884,-0.367295,1.077214,0.619872
0.50,0.20,30.00,bb_ipp,0.986771,0.005545,0.985327,0.968281,1.009939,0.197463,0.012397,0.145993,0.010544,-0.187786,1.020680,0.670748
1.00,0.20,30.00,transect,0.989228,0.005660,0.989278,0.965736,1.010685,0.111706,0.030410,0.112099,0.018613,-0.979316,1.099574,0.472221
1.00,0.20,30.00,ergo_nonadaptive,0.984445,0.004778,0.981383,0.972986,1.005893,0.115480,0.025187,0.111452,0.017688,-0.979340,1.074245,0.469714
1.00,0.20,30.00,ergo_adaptive,0.984316,0.004866,0.989685,0.966245,1.004953,0.116531,0.025923,0.111780,0.017911,-0.771957,1.100423,0.535061
1.00,0.20,30.00,bb_ipp,0.983904,0.006497,0.986147,0.961410,1.010481,0.115417,0.020717,0.116289,0.015452,-0.572858,1.051069,0.602091
1.50,0.20,30.00,transect,0.989228,0.005660,0.989278,0.965736,1.010685,0.021772,0.017214,0.074232,0.018876,-1.479316,1.099574,0.320489
1.50,0.20,30.00,ergo_nonadaptive,0.984445,0.004778,0.981383,0.972986,1.005893,0.025827,0.016964,0.073675,0.017765,-1.479340,1.074245,0.312042
1.50,0.20,30.00,ergo_adaptive,0.980624,0.004851,0.976640,0.956253,1.006597,0.022266,0.012906,0.075540,0.017676,-1.025045,1.163614,0.468217
1.50,0.20,30.00,bb_ipp,0.982994,0.005474,0.980576,0.964121,1.004412,0.018167,0.009714,0.076855,0.020209,-1.067541,1.083705,0.449186
