Strategy,Mean_RMSE,Final_RMSE,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.929795,0.845452,0.000000,0.000000,-0.614404,1.057117,0.571627
ergo_nonadaptive,0.893861,0.934132,0.178688,0.176277,-0.459480,1.087617,0.582897
ergo_adaptive,0.861887,0.830314,0.107152,0.092228,-0.295816,1.055966,0.648808
bb_ipp,0.900018,0.848804,0.110292,0.093920,-0.290311,0.925158,0.710461
