W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,1.00,30.00,transect,0.855027,0.016314,0.849028,0.798366,0.869158,0.140637,0.151482,0.167247,0.136736,0.176591,0.055113,1.113755,0.629592
0.00,1.00,30.00,ergo_nonadaptive,0.851090,0.013051,0.852447,0.794682,0.893749,0.131701,0.129138,0.134435,0.117541,0.151327,0.053839,1.093300,0.656592
0.00,1.00,30.00,ergo_adaptive,0.847272,0.013086,0.833907,0.797845,0.896412,0.128712,0.114905,0.121121,0.090917,0.148894,0.054197,1.058221,0.661892
0.00,1.00,30.00,bb_ipp,0.854122,0.016607,0.826792,0.786480,0.893781,0.125185,0.111724,0.127787,0.074426,0.142263,0.068658,1.029873,0.684934
0.50,1.00,30.00,transect,0.855027,0.016314,0.849028,0.798366,0.869158,0.109694,0.120444,0.137753,0.083086,0.167085,-0.444887,1.113755,0.587711
0.50,1.00,30.00,ergo_nonadaptive,0.851090,0.013051,0.852447,0.794682,0.893749,0.104115,0.105064,0.105955,0.086615,0.135183,-0.446161,1.093300,0.599074
0.50,1.00,30.00,ergo_adaptive,0.839524,0.013731,0.814104,0.779961,0.899015,0.100211,0.101736,0.115956,0.070646,0.135964,-0.366040,1.054502,0.636596
0.50,1.00,30.00,bb_ipp,0.875371,0.013017,0.843921,0.828729,0.926069,0.098696,0.097374,0.113381,0.057193,0.134261,-0.362566,1.011907,0.648716
1.00,1.00,30.00,transect,0.855027,0.016314,0.849028,0.798366,0.869158,0.058755,0.066745,0.064699,0.018663,0.106903,-0.944887,1.113755,0.472314
1.00,1.00,30.00,ergo_nonadaptive,0.851090,0.013051,0.852447,0.794682,0.893749,0.057993,0.062363,0.056443,0.022786,0.102900,-0.946161,1.093300,0.461714
1.00,1.00,30.00,ergo_adaptive,0.838025,0.014798,0.823074,0.790052,0.849653,0.051321,0.051152,0.045076,0.009636,0.076134,-0.772623,1.097529,0.528628
1.00,1.00,30.00,bb_ipp,0.859468,0.014928,0.849066,0.803344,0.900892,0.051139,0.037869,0.011911,0.003726,0.050130,-0.758732,1.062931,0.557703
1.50,1.00,30.00,transect,0.855027,0.016314,0.849028,0.798366,0.869158,0.021976,0.026870,0.016058,0.001149,0.031930,-1.444887,1.113755,0.327524
1.50,1.00,30.00,ergo_nonadaptive,0.851017,0.013053,0.852447,0.794682,0.893749,0.025204,0.029367,0.011787,0.000623,0.051582,-1.446818,1.093444,0.303734
1.50,1.00,30.00,ergo_adaptive,0.833293,0.013488,0.813798,0.791145,0.863172,0.021155,0.023279,0.000682,0.000010,0.037330,-1.258674,1.143366,0.384193
1.50,1.00,30.00,bb_ipp,0.873208,0.013163,0.870521,0.821717,0.913483,0.017594,0.014384,0.000956,0.000000,0.006860,-1.383700,1.119090,0.341279
