Strategy,Mean_RMSE,Final_RMSE,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.929795,0.845452,0.000000,0.000000,-0.114404,1.057117,0.638394
ergo_nonadaptive,0.893861,0.934132,0.178688,0.176277,0.040520,1.087617,0.646100
ergo_adaptive,0.889300,0.867759,0.134275,0.102726,0.009639,1.090144,0.650891
bb_ipp,0.899265,0.960058,0.145221,0.124996,-0.109505,0.884690,0.744990
