Strategy,Global_RMSE,Global_RMSE_SEM,Target_RMSE,Target_RMSE_SEM,Weighted_RMSE,Weighted_RMSE_SEM,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.929795,0.045492,0.510878,0.022364,0.805510,0.030909,0.000000,0.000000,-0.114404,1.057117,0.638394
ergo_nonadaptive,0.893861,0.022319,0.523112,0.025124,0.789521,0.018704,0.178688,0.176277,0.040520,1.087617,0.646100
ergo_adaptive,0.889300,0.029016,0.579190,0.027736,0.793825,0.024709,0.134275,0.102726,0.009639,1.090144,0.650891
bb_ipp,0.899265,0.030315,0.583084,0.031271,0.796935,0.023916,0.145221,0.124996,-0.109505,0.884690,0.744990
