W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.75,30.00,transect,0.894084,0.014930,0.896208,0.842632,0.903466,0.161700,0.025791,0.116672,0.010667,0.049648,1.111563,0.629283
0.00,0.75,30.00,ergo_nonadaptive,0.891571,0.012007,0.893980,0.836894,0.930773,0.153494,0.018394,0.110511,0.010210,0.049010,1.089187,0.655535
0.00,0.75,30.00,ergo_adaptive,0.885906,0.011969,0.877509,0.837658,0.918251,0.150697,0.023128,0.110952,0.009867,0.037202,1.055090,0.664869
0.00,0.75,30.00,bb_ipp,0.898277,0.014289,0.880123,0.844661,0.919835,0.149990,0.024745,0.118283,0.010169,0.035138,0.953431,0.714356
0.50,0.75,30.00,transect,0.894084,0.014930,0.896208,0.842632,0.903466,0.127576,0.048832,0.107606,0.020564,-0.450352,1.111563,0.587804
0.50,0.75,30.00,ergo_nonadaptive,0.891571,0.012007,0.893980,0.836894,0.930773,0.123688,0.043393,0.101908,0.020193,-0.450990,1.089187,0.599043
0.50,0.75,30.00,ergo_adaptive,0.894391,0.013754,0.877564,0.841484,0.916778,0.120872,0.031913,0.102168,0.016578,-0.352474,1.059516,0.637067
0.50,0.75,30.00,bb_ipp,0.909006,0.012875,0.894628,0.874942,0.945580,0.115564,0.046391,0.108862,0.020254,-0.298885,1.001333,0.672159
1.00,0.75,30.00,transect,0.894084,0.014930,0.896208,0.842632,0.903466,0.067815,0.066352,0.083095,0.034852,-0.950352,1.111563,0.474566
1.00,0.75,30.00,ergo_nonadaptive,0.891571,0.012007,0.893980,0.836894,0.930773,0.068405,0.064533,0.078516,0.031261,-0.950990,1.089187,0.463072
1.00,0.75,30.00,ergo_adaptive,0.878930,0.012648,0.873296,0.834634,0.910071,0.060846,0.055379,0.080161,0.029820,-0.764469,1.088154,0.537322
1.00,0.75,30.00,bb_ipp,0.902364,0.012660,0.888045,0.852370,0.949413,0.054697,0.040621,0.085286,0.031537,-0.749110,1.078289,0.550482
1.50,0.75,30.00,transect,0.894084,0.014930,0.896208,0.842632,0.903466,0.022949,0.026553,0.053780,0.032710,-1.450352,1.111563,0.328489
1.50,0.75,30.00,ergo_nonadaptive,0.891729,0.012006,0.896351,0.836894,0.930773,0.026907,0.034417,0.050607,0.030682,-1.451311,1.089629,0.305585
1.50,0.75,30.00,ergo_adaptive,0.881659,0.013016,0.873764,0.835324,0.921640,0.022213,0.027532,0.053004,0.030053,-1.174979,1.123136,0.416578
1.50,0.75,30.00,bb_ipp,0.905414,0.013564,0.898217,0.845299,0.925301,0.019544,0.016581,0.055910,0.029528,-1.301695,1.096106,0.370431
