Strategy,Global_RMSE,Global_RMSE_SEM,Target_RMSE,Target_RMSE_SEM,Weighted_RMSE,Weighted_RMSE_SEM,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.878202,0.018101,2.299673,0.080364,0.949402,0.021801,0.000000,0.000000,3.055192,1.119016,0.031991
ergo_nonadaptive,0.875123,0.012700,2.434464,0.071246,0.961648,0.021325,0.178688,0.176277,3.055005,1.095822,0.025503
ergo_adaptive,0.881469,0.014137,2.426136,0.073802,0.974405,0.021852,0.000253,0.000194,3.079308,1.141445,0.031158
bb_ipp,0.896254,0.014242,2.357852,0.065960,0.994168,0.026453,0.000216,0.000013,3.111017,1.155668,0.028134
