W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,1.00,75.00,transect,0.811716,0.023796,0.771399,0.742848,0.822683,0.112695,0.104369,0.111223,0.095480,0.122572,0.067430,1.136100,0.613037
0.00,1.00,75.00,ergo_nonadaptive,0.802500,0.015034,0.802302,0.749116,0.836426,0.101711,0.089761,0.094788,0.072854,0.108415,0.066813,1.107182,0.644303
0.00,1.00,75.00,ergo_adaptive,0.794453,0.015372,0.778885,0.739402,0.837704,0.102638,0.079147,0.086325,0.051884,0.104057,0.066555,1.003172,0.700154
0.00,1.00,75.00,bb_ipp,0.819177,0.018206,0.792005,0.767424,0.839132,0.105275,0.080665,0.082255,0.057157,0.108059,0.003751,0.939306,0.733804
0.50,1.00,75.00,transect,0.811716,0.023796,0.771399,0.742848,0.822683,0.085976,0.078662,0.076804,0.036552,0.119647,-0.432570,1.136100,0.583985
0.50,1.00,75.00,ergo_nonadaptive,0.802500,0.015034,0.802302,0.749116,0.836426,0.077382,0.071214,0.061973,0.054103,0.094294,-0.433187,1.107182,0.597015
0.50,1.00,75.00,ergo_adaptive,0.796559,0.014638,0.785431,0.737506,0.841157,0.077184,0.067697,0.075036,0.035084,0.097241,-0.320622,1.029699,0.659809
0.50,1.00,75.00,bb_ipp,0.807152,0.014919,0.786454,0.750401,0.840419,0.079178,0.060676,0.074612,0.019078,0.094138,-0.259456,0.987794,0.698010
1.00,1.00,75.00,transect,0.811716,0.023796,0.771399,0.742848,0.822683,0.046449,0.043786,0.031081,0.006516,0.083019,-0.932570,1.136100,0.481555
1.00,1.00,75.00,ergo_nonadaptive,0.802500,0.015034,0.802302,0.749116,0.836426,0.041265,0.041300,0.033621,0.014081,0.061401,-0.933187,1.107182,0.472283
1.00,1.00,75.00,ergo_adaptive,0.800491,0.020361,0.768848,0.754621,0.805251,0.039116,0.037135,0.024900,0.009167,0.062068,-0.695163,1.073780,0.577305
1.00,1.00,75.00,bb_ipp,0.838967,0.022949,0.786597,0.763375,0.884128,0.035528,0.030630,0.014555,0.000699,0.056379,-0.708693,1.070892,0.569783
1.50,1.00,75.00,transect,0.811716,0.023796,0.771399,0.742848,0.822683,0.018894,0.020088,0.004933,0.000202,0.039759,-1.432570,1.136100,0.342791
1.50,1.00,75.00,ergo_nonadaptive,0.802742,0.015031,0.802302,0.749116,0.836426,0.017352,0.017253,0.002819,0.000227,0.022173,-1.432865,1.106803,0.317326
1.50,1.00,75.00,ergo_adaptive,0.813975,0.020146,0.788333,0.753226,0.846422,0.015600,0.013287,0.002842,0.000008,0.017525,-1.213936,1.188993,0.410846
1.50,1.00,75.00,bb_ipp,0.839694,0.020754,0.815300,0.762064,0.883527,0.015213,0.014615,0.002639,0.000000,0.010189,-1.222840,1.159654,0.389771
