W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.20,75.00,transect,0.971095,0.008864,0.966017,0.940973,0.989931,0.213910,0.188349,0.187494,0.183301,0.195383,0.019323,1.093602,0.636774
0.00,0.20,75.00,ergo_nonadaptive,0.962582,0.007090,0.959709,0.941637,0.974790,0.211981,0.190937,0.192226,0.185918,0.202111,0.034114,1.085175,0.641001
0.00,0.20,75.00,ergo_adaptive,0.962171,0.007104,0.959579,0.938645,0.980258,0.212499,0.189193,0.192388,0.182660,0.198728,0.042215,1.076741,0.645992
0.00,0.20,75.00,bb_ipp,0.983818,0.007939,0.981741,0.952054,1.010193,0.213407,0.188154,0.190173,0.181583,0.196387,0.028727,0.989867,0.691352
0.50,0.20,75.00,transect,0.971095,0.008864,0.966017,0.940973,0.989931,0.179200,0.154019,0.154976,0.143565,0.171321,-0.480677,1.093602,0.593150
0.50,0.20,75.00,ergo_nonadaptive,0.962582,0.007090,0.959709,0.941637,0.974790,0.180188,0.162400,0.163409,0.150407,0.174049,-0.465886,1.085175,0.597292
0.50,0.20,75.00,ergo_adaptive,0.973535,0.008829,0.971558,0.946699,0.994268,0.182382,0.163891,0.163897,0.153206,0.176208,-0.343748,1.080086,0.618144
0.50,0.20,75.00,bb_ipp,0.975784,0.008731,0.963492,0.942157,0.988302,0.187666,0.172173,0.174367,0.165750,0.179427,-0.127758,0.948043,0.706341
1.00,0.20,75.00,transect,0.971095,0.008864,0.966017,0.940973,0.989931,0.099709,0.077967,0.075150,0.060873,0.100634,-0.980677,1.093602,0.470485
1.00,0.20,75.00,ergo_nonadaptive,0.962582,0.007090,0.959709,0.941637,0.974790,0.102280,0.094395,0.093674,0.075135,0.101739,-0.965886,1.085175,0.476772
1.00,0.20,75.00,ergo_adaptive,0.968052,0.008108,0.968116,0.935432,1.001049,0.104877,0.095913,0.096514,0.080461,0.106501,-0.656576,1.097499,0.568356
1.00,0.20,75.00,bb_ipp,0.977075,0.008803,0.966247,0.943005,1.007048,0.107166,0.097903,0.099152,0.085119,0.110775,-0.471855,1.021618,0.640176
1.50,0.20,75.00,transect,0.971095,0.008864,0.966017,0.940973,0.989931,0.019158,0.019077,0.013767,0.006963,0.029328,-1.480677,1.093602,0.320111
1.50,0.20,75.00,ergo_nonadaptive,0.962582,0.007090,0.959709,0.941637,0.974790,0.022275,0.028729,0.024430,0.014803,0.036576,-1.465886,1.085175,0.323536
1.50,0.20,75.00,ergo_adaptive,0.974281,0.009046,0.961534,0.943897,1.000682,0.019843,0.020086,0.016917,0.011817,0.030868,-0.871352,1.145931,0.517697
1.50,0.20,75.00,bb_ipp,0.977421,0.010182,0.970077,0.938029,0.992201,0.014711,0.012830,0.010248,0.007444,0.016300,-0.975521,1.077734,0.494785
