W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.20,120.00,transect,0.957111,0.010757,0.943579,0.921704,0.971042,0.206107,0.169272,0.168631,0.164562,0.176638,0.019910,1.092821,0.638255
0.00,0.20,120.00,ergo_nonadaptive,0.947815,0.008714,0.940758,0.919095,0.967382,0.203943,0.175345,0.178557,0.169344,0.186602,0.036126,1.085945,0.639019
0.00,0.20,120.00,ergo_adaptive,0.945435,0.008738,0.938495,0.919096,0.972573,0.204333,0.173602,0.176194,0.164510,0.183411,0.047113,1.063753,0.652195
0.00,0.20,120.00,bb_ipp,0.967832,0.008318,0.966105,0.939599,1.001700,0.206736,0.174898,0.176159,0.169745,0.180929,0.010186,0.957763,0.711857
0.50,0.20,120.00,transect,0.957111,0.010757,0.943579,0.921704,0.971042,0.172009,0.135966,0.137214,0.127842,0.152234,-0.480090,1.092821,0.593474
0.50,0.20,120.00,ergo_nonadaptive,0.947815,0.008714,0.940758,0.919095,0.967382,0.172638,0.148160,0.145143,0.137868,0.157550,-0.463874,1.085945,0.599607
0.50,0.20,120.00,ergo_adaptive,0.959725,0.010850,0.952014,0.928691,0.983109,0.175753,0.151908,0.151352,0.143688,0.162683,-0.317639,1.106506,0.613438
0.50,0.20,120.00,bb_ipp,0.961610,0.010568,0.949136,0.931290,0.977396,0.183210,0.162389,0.165994,0.160424,0.170672,-0.116420,0.974973,0.697300
1.00,0.20,120.00,transect,0.957111,0.010757,0.943579,0.921704,0.971042,0.094992,0.065423,0.060766,0.048011,0.083239,-0.980090,1.092821,0.470485
1.00,0.20,120.00,ergo_nonadaptive,0.947815,0.008714,0.940758,0.919095,0.967382,0.096817,0.084337,0.081429,0.065827,0.093102,-0.963874,1.085945,0.479171
1.00,0.20,120.00,ergo_adaptive,0.958112,0.010534,0.948167,0.919599,0.981079,0.100748,0.089859,0.086528,0.079120,0.099564,-0.630632,1.102347,0.570508
1.00,0.20,120.00,bb_ipp,0.971625,0.010896,0.952904,0.934996,1.008456,0.105697,0.093705,0.093278,0.081313,0.107804,-0.464048,1.024537,0.643678
1.50,0.20,120.00,transect,0.957111,0.010757,0.943579,0.921704,0.971042,0.017731,0.016397,0.012206,0.007332,0.023484,-1.480090,1.092821,0.319317
1.50,0.20,120.00,ergo_nonadaptive,0.947738,0.008683,0.940758,0.919095,0.967382,0.020539,0.025423,0.019083,0.012444,0.035172,-1.462953,1.085837,0.326475
1.50,0.20,120.00,ergo_adaptive,0.962567,0.010528,0.953394,0.925809,0.981904,0.019054,0.019726,0.015909,0.009038,0.026769,-0.749149,1.199624,0.546656
1.50,0.20,120.00,bb_ipp,0.980075,0.013236,0.962572,0.936178,0.994113,0.014975,0.012586,0.010285,0.007351,0.014445,-0.986362,1.090377,0.493790
