Strategy,Global_RMSE,Global_RMSE_SEM,Target_RMSE,Target_RMSE_SEM,Weighted_RMSE,Weighted_RMSE_SEM,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.929795,0.045492,2.359998,0.098015,0.975821,0.042203,0.000000,0.000000,2.885596,1.057117,0.035663
ergo_nonadaptive,0.893861,0.022319,2.444024,0.086634,1.013867,0.028800,0.178688,0.176277,3.040520,1.087617,0.021199
ergo_adaptive,0.911726,0.029132,2.457559,0.082859,1.016511,0.023619,0.000311,0.000579,2.994960,1.115133,0.035779
bb_ipp,0.919270,0.028251,2.204642,0.050471,0.986289,0.029019,0.000252,0.000039,2.930306,1.164809,0.038371
