W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.75,120.00,transect,0.825166,0.023626,0.789466,0.749805,0.839727,0.121946,0.092526,0.098211,0.086613,0.108767,0.058621,1.138432,0.613600
0.00,0.75,120.00,ergo_nonadaptive,0.808813,0.015433,0.795174,0.757527,0.842404,0.109647,0.086467,0.093014,0.065112,0.104212,0.059071,1.104888,0.643740
0.00,0.75,120.00,ergo_adaptive,0.816827,0.015016,0.800921,0.760208,0.864840,0.113240,0.086484,0.093838,0.065402,0.107460,0.031980,1.012582,0.694909
0.00,0.75,120.00,bb_ipp,0.849623,0.013497,0.842142,0.807906,0.901470,0.120137,0.091730,0.094559,0.064853,0.119259,0.042357,0.893201,0.760279
0.50,0.75,120.00,transect,0.825166,0.023626,0.789466,0.749805,0.839727,0.093832,0.066056,0.070224,0.034740,0.096065,-0.441379,1.138432,0.582111
0.50,0.75,120.00,ergo_nonadaptive,0.808813,0.015433,0.795174,0.757527,0.842404,0.084638,0.069635,0.063311,0.053139,0.094267,-0.440929,1.104888,0.600393
0.50,0.75,120.00,ergo_adaptive,0.815420,0.016265,0.792174,0.752833,0.884848,0.088108,0.068853,0.069429,0.051796,0.096275,-0.261998,1.005988,0.671365
0.50,0.75,120.00,bb_ipp,0.835583,0.016814,0.806264,0.772657,0.872653,0.090970,0.062293,0.053326,0.033366,0.092245,-0.226151,0.959273,0.714372
1.00,0.75,120.00,transect,0.825166,0.023626,0.789466,0.749805,0.839727,0.049677,0.035708,0.023203,0.007393,0.060469,-0.941379,1.138432,0.477536
1.00,0.75,120.00,ergo_nonadaptive,0.808813,0.015433,0.795174,0.757527,0.842404,0.044441,0.039530,0.033647,0.015929,0.055496,-0.940929,1.104888,0.472815
1.00,0.75,120.00,ergo_adaptive,0.820412,0.022802,0.787609,0.744740,0.853213,0.043054,0.033751,0.026335,0.007925,0.053143,-0.595095,1.037136,0.607815
1.00,0.75,120.00,bb_ipp,0.855937,0.021103,0.827746,0.792152,0.889483,0.040147,0.022798,0.007862,0.002530,0.031898,-0.620639,1.035049,0.615020
1.50,0.75,120.00,transect,0.825166,0.023626,0.789466,0.749805,0.839727,0.017755,0.016038,0.003954,0.000066,0.027310,-1.441379,1.138432,0.337730
1.50,0.75,120.00,ergo_nonadaptive,0.808874,0.015435,0.795174,0.757527,0.842404,0.016585,0.016217,0.005273,0.000831,0.022919,-1.441103,1.105227,0.316779
1.50,0.75,120.00,ergo_adaptive,0.843499,0.020214,0.812477,0.784857,0.869974,0.015070,0.010608,0.003225,0.000292,0.011845,-1.078040,1.179830,0.455111
1.50,0.75,120.00,bb_ipp,0.826113,0.019931,0.821544,0.756823,0.864876,0.014089,0.012211,0.002111,0.000010,0.005363,-1.058090,1.189201,0.468665
