Strategy,Global_RMSE,Global_RMSE_SEM,Target_RMSE,Target_RMSE_SEM,Weighted_RMSE,Weighted_RMSE_SEM,Mean_Clarity_Deficit,Final_Clarity_Deficit,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.929795,0.045492,0.666566,0.044349,0.820736,0.033962,0.000000,0.000000,-0.614404,1.057117,0.571627
ergo_nonadaptive,0.893861,0.022319,0.636302,0.030659,0.789765,0.019043,0.178688,0.176277,-0.459480,1.087617,0.582897
ergo_adaptive,0.861887,0.020545,0.676604,0.026751,0.773094,0.019951,0.107152,0.092228,-0.295816,1.055966,0.648808
bb_ipp,0.900018,0.029537,0.736360,0.032419,0.814401,0.026006,0.110292,0.093920,-0.290311,0.925158,0.710461
