W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.20,75.00,transect,0.971095,0.008864,0.966017,0.940973,0.989931,0.213910,0.008149,0.140467,0.011172,0.019323,1.093602,0.636774
0.00,0.20,75.00,ergo_nonadaptive,0.962582,0.007090,0.959709,0.941637,0.974790,0.211981,0.006839,0.139616,0.009805,0.034114,1.085175,0.641001
0.00,0.20,75.00,ergo_adaptive,0.962105,0.007105,0.958581,0.938645,0.980258,0.212507,0.006149,0.139571,0.009465,0.042137,1.076707,0.645483
0.00,0.20,75.00,bb_ipp,0.982821,0.007845,0.978372,0.952054,1.007806,0.214862,0.007127,0.142620,0.010913,0.045386,0.983680,0.693111
0.50,0.20,75.00,transect,0.971095,0.008864,0.966017,0.940973,0.989931,0.179200,0.020581,0.130675,0.014154,-0.480677,1.093602,0.593150
0.50,0.20,75.00,ergo_nonadaptive,0.962582,0.007090,0.959709,0.941637,0.974790,0.180188,0.016688,0.129583,0.014704,-0.465886,1.085175,0.597292
0.50,0.20,75.00,ergo_adaptive,0.973753,0.008812,0.971558,0.946699,0.994268,0.182451,0.015326,0.130075,0.016020,-0.336985,1.076983,0.621430
0.50,0.20,75.00,bb_ipp,0.978886,0.009332,0.964562,0.944425,1.005505,0.187687,0.014071,0.137934,0.016645,-0.146099,0.958298,0.703618
1.00,0.20,75.00,transect,0.971095,0.008864,0.966017,0.940973,0.989931,0.099709,0.029044,0.102504,0.023708,-0.980677,1.093602,0.470485
1.00,0.20,75.00,ergo_nonadaptive,0.962582,0.007090,0.959709,0.941637,0.974790,0.102280,0.027024,0.101264,0.025598,-0.965886,1.085175,0.476772
1.00,0.20,75.00,ergo_adaptive,0.968068,0.008106,0.968116,0.935547,1.001049,0.104942,0.022881,0.102392,0.026075,-0.656787,1.095430,0.568804
1.00,0.20,75.00,bb_ipp,0.979563,0.008338,0.966247,0.948498,1.011857,0.108245,0.024333,0.111498,0.030824,-0.487193,1.015826,0.634583
1.50,0.20,75.00,transect,0.971095,0.008864,0.966017,0.940973,0.989931,0.019158,0.016904,0.067557,0.025178,-1.480677,1.093602,0.320111
1.50,0.20,75.00,ergo_nonadaptive,0.962582,0.007090,0.959709,0.941637,0.974790,0.022275,0.018476,0.066366,0.024008,-1.465886,1.085175,0.323536
1.50,0.20,75.00,ergo_adaptive,0.972979,0.008770,0.961522,0.943897,0.993307,0.020094,0.018169,0.070043,0.027663,-0.861922,1.139521,0.520721
1.50,0.20,75.00,bb_ipp,0.981245,0.010475,0.975412,0.941587,0.997152,0.015068,0.008926,0.073394,0.026984,-0.996113,1.065054,0.489208
