W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.75,120.00,transect,0.825166,0.023626,0.789466,0.749805,0.839727,0.121946,0.031195,0.089862,0.018313,0.058621,1.138432,0.613600
0.00,0.75,120.00,ergo_nonadaptive,0.808813,0.015433,0.795174,0.757527,0.842404,0.109647,0.026278,0.079172,0.015260,0.059071,1.104888,0.643740
0.00,0.75,120.00,ergo_adaptive,0.816282,0.015115,0.800921,0.760208,0.864840,0.113297,0.035136,0.081447,0.014583,0.034255,1.012487,0.694816
0.00,0.75,120.00,bb_ipp,0.850190,0.014250,0.842142,0.805187,0.903389,0.119894,0.039084,0.093302,0.014988,0.047581,0.897784,0.756831
0.50,0.75,120.00,transect,0.825166,0.023626,0.789466,0.749805,0.839727,0.093832,0.057313,0.082323,0.031264,-0.441379,1.138432,0.582111
0.50,0.75,120.00,ergo_nonadaptive,0.808813,0.015433,0.795174,0.757527,0.842404,0.084638,0.064019,0.072518,0.030905,-0.440929,1.104888,0.600393
0.50,0.75,120.00,ergo_adaptive,0.819128,0.015675,0.792174,0.763559,0.884848,0.087601,0.064940,0.075199,0.029661,-0.263974,1.003135,0.670863
0.50,0.75,120.00,bb_ipp,0.823949,0.014844,0.805335,0.768444,0.864480,0.092172,0.049783,0.085223,0.035619,-0.226536,0.956784,0.715976
1.00,0.75,120.00,transect,0.825166,0.023626,0.789466,0.749805,0.839727,0.049677,0.062810,0.062160,0.041784,-0.941379,1.138432,0.477536
1.00,0.75,120.00,ergo_nonadaptive,0.808813,0.015433,0.795174,0.757527,0.842404,0.044441,0.048403,0.054534,0.045725,-0.940929,1.104888,0.472815
1.00,0.75,120.00,ergo_adaptive,0.821656,0.022769,0.790184,0.744740,0.853213,0.043056,0.056780,0.060134,0.044372,-0.592980,1.039649,0.606789
1.00,0.75,120.00,bb_ipp,0.860997,0.021798,0.830759,0.793855,0.901496,0.039163,0.047950,0.065934,0.050745,-0.618139,1.044362,0.610052
1.50,0.75,120.00,transect,0.825166,0.023626,0.789466,0.749805,0.839727,0.017755,0.014306,0.039087,0.039726,-1.441379,1.138432,0.337730
1.50,0.75,120.00,ergo_nonadaptive,0.808739,0.015440,0.795174,0.757527,0.842404,0.016695,0.014958,0.033923,0.035606,-1.440954,1.104759,0.316771
1.50,0.75,120.00,ergo_adaptive,0.843499,0.020214,0.812477,0.784857,0.869974,0.015070,0.009928,0.039600,0.039918,-1.078040,1.179830,0.455111
1.50,0.75,120.00,bb_ipp,0.845004,0.020465,0.819963,0.771301,0.855156,0.014459,0.010040,0.040906,0.047346,-1.129384,1.193062,0.446262
