Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
transect,0.878202,0.018101,0.859003,0.819174,0.887402,0.187318,0.187899,0.187899,0.187899,0.187899,0.055192,1.119016,0.623174
ergo_nonadaptive,0.875123,0.012700,0.881927,0.822081,0.908055,0.178688,0.176277,0.176277,0.176277,0.176277,0.055005,1.095822,0.649286
ergo_adaptive,0.870628,0.014293,0.862482,0.814743,0.902694,0.138209,0.118863,0.126168,0.104292,0.146395,0.068001,1.052038,0.667654
bb_ipp,0.889536,0.015987,0.883475,0.852307,0.897026,0.142589,0.123920,0.126104,0.104472,0.148817,0.047686,0.937822,0.725719
