W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Est_Deficit_Mean,Est_Deficit_IQR,GT_Deficit_Mean,GT_Deficit_IQR,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,0.20,120.00,transect,0.957111,0.010757,0.943579,0.921704,0.971042,0.206107,0.006948,0.134715,0.011616,0.019910,1.092821,0.638255
0.00,0.20,120.00,ergo_nonadaptive,0.947893,0.008720,0.940758,0.919095,0.968138,0.203924,0.006151,0.133676,0.008919,0.035930,1.086184,0.638587
0.00,0.20,120.00,ergo_adaptive,0.945314,0.008763,0.937053,0.919096,0.972573,0.204422,0.005272,0.133896,0.009647,0.043835,1.062867,0.652835
0.00,0.20,120.00,bb_ipp,0.969613,0.008491,0.966105,0.940096,1.001700,0.205918,0.009251,0.136637,0.009807,0.008199,0.957417,0.711340
0.50,0.20,120.00,transect,0.957310,0.010760,0.943579,0.921704,0.971042,0.172101,0.021637,0.125170,0.012125,-0.480006,1.094121,0.593381
0.50,0.20,120.00,ergo_nonadaptive,0.947815,0.008714,0.940758,0.919095,0.967382,0.172638,0.017180,0.123766,0.014901,-0.463874,1.085945,0.599607
0.50,0.20,120.00,ergo_adaptive,0.959415,0.010703,0.953302,0.928462,0.983109,0.175640,0.014871,0.124851,0.013662,-0.324555,1.099363,0.615575
0.50,0.20,120.00,bb_ipp,0.965995,0.011129,0.951220,0.929235,0.997772,0.184336,0.016484,0.133901,0.012358,-0.080463,0.941126,0.711980
1.00,0.20,120.00,transect,0.957111,0.010757,0.943579,0.921704,0.971042,0.094992,0.027437,0.097901,0.024206,-0.980090,1.092821,0.470485
1.00,0.20,120.00,ergo_nonadaptive,0.947815,0.008714,0.940758,0.919095,0.967382,0.096817,0.027604,0.096247,0.024500,-0.963874,1.085945,0.479171
1.00,0.20,120.00,ergo_adaptive,0.955879,0.010033,0.948167,0.919599,0.981079,0.100556,0.022009,0.097623,0.025699,-0.634362,1.104865,0.569428
1.00,0.20,120.00,bb_ipp,0.970342,0.010650,0.954215,0.934996,1.000862,0.106041,0.021036,0.108842,0.029222,-0.458165,1.025977,0.644758
1.50,0.20,120.00,transect,0.957111,0.010757,0.943579,0.921704,0.971042,0.017731,0.014976,0.064280,0.021049,-1.480090,1.092821,0.319317
1.50,0.20,120.00,ergo_nonadaptive,0.947855,0.008712,0.941349,0.919095,0.967382,0.020474,0.018259,0.062698,0.023556,-1.464607,1.085848,0.326475
1.50,0.20,120.00,ergo_adaptive,0.962510,0.010289,0.953394,0.925809,0.981904,0.019107,0.015453,0.067837,0.027649,-0.720890,1.199110,0.560480
1.50,0.20,120.00,bb_ipp,0.983773,0.013389,0.962627,0.936023,1.007191,0.014445,0.012706,0.071731,0.027708,-1.050636,1.109014,0.464360
