raw_wind,normal_val
4.64007,-0.049201
4.07955,-0.291255
4.111,-0.277394
4.14621,-0.261919
4.10663,-0.279317
4.24283,-0.219686
3.87463,-0.382491
4.00766,-0.323074
4.1918,-0.241952
4.02394,-0.315853
3.77566,-0.427173
3.995,-0.328701
3.71516,-0.454697
3.49263,-0.557431
3.63324,-0.492234
3.61091,-0.502524
3.5017,-0.553194
3.33323,-0.632598
3.46565,-0.570054
3.31156,-0.642932
3.64459,-0.487015
3.67673,-0.472269
3.44765,-0.578503
3.2196,-0.687077
3.04256,-0.773594
3.12777,-0.731694
3.10945,-0.740658
3.77078,-0.429385
3.48048,-0.563111
3.96972,-0.339949
4.05094,-0.303896
3.52149,-0.543968
3.34962,-0.624803
3.73471,-0.445784
4.22192,-0.228799
4.20365,-0.236771
4.38402,-0.158532
4.67164,-0.0358511
4.43575,-0.136284
4.70698,-0.0209348
4.57462,-0.0769634
4.69695,-0.0251651
4.40746,-0.148442
4.22748,-0.226373
3.98604,-0.332684
3.95565,-0.34622
3.91396,-0.364852
3.51774,-0.545717
3.53053,-0.539758
3.80551,-0.413651
4.29034,-0.199034
3.81074,-0.411284
4.34458,-0.175549
4.28448,-0.201578
4.20478,-0.236277
4.21845,-0.23031
3.97505,-0.337573
3.95986,-0.344343
4.29782,-0.19579
4.40153,-0.150993
3.87594,-0.381904
3.67393,-0.47355
3.91809,-0.363003
4.52318,-0.0988723
4.38601,-0.157672
3.37329,-0.613576
3.37428,-0.613106
3.90436,-0.369152
3.90743,-0.367776
3.55023,-0.530605
3.16713,-0.712506
4.28334,-0.20207
3.93499,-0.355444
3.90951,-0.366842
3.38338,-0.608798
4.17857,-0.247739
4.17232,-0.250474
3.95016,-0.34867
3.77621,-0.426923
4.23274,-0.224079
4.2685,-0.208517
4.13072,-0.268723
3.7737,-0.428061
3.89811,-0.371953
3.03974,-0.774988
3.7965,-0.417727
4.16532,-0.25354
3.07608,-0.757049
3.74033,-0.443223
3.68449,-0.468713
3.17909,-0.706695
3.81465,-0.409518
3.72073,-0.452154
3.53214,-0.539011
3.59544,-0.509663
3.62902,-0.494177
3.80268,-0.414933
4.05105,-0.303844
4.64415,-0.0474734
5.1071,0.145713
5.11054,0.14713
4.98197,0.0940053
5.81637,0.432889
5.63001,0.358312
5.59744,0.345218
4.91641,0.0667729
4.59075,-0.0701117
4.60021,-0.0660947
4.66695,-0.0378309
4.65504,-0.0428656
4.9239,0.0698863
4.52763,-0.0969729
3.99897,-0.326932
4.41606,-0.144744
4.1013,-0.281666
4.09278,-0.285419
4.21379,-0.232345
4.37552,-0.162196
4.64513,-0.0470593
4.00983,-0.322113
4.48029,-0.117194
4.42961,-0.138921
4.1726,-0.250354
3.82929,-0.40291
4.2603,-0.212081
4.43958,-0.134642
3.65517,-0.482157
3.98127,-0.334806
4.9305,0.0726348
6.17327,0.57423
5.92763,0.477153
5.02465,0.111685
4.62929,-0.0537622
4.58088,-0.0743031
4.37317,-0.163206
4.43447,-0.136835
3.73154,-0.447228
4.13404,-0.267266
4.7662,0.00397671
4.84631,0.0375351
4.87145,0.0480364
4.69098,-0.0276827
4.79776,0.0172163
6.5347,0.715631
4.40475,-0.149607
4.43847,-0.135115
4.56002,-0.0831748
4.78342,0.011207
4.24567,-0.218448
5.03824,0.117301
5.4816,0.298503
4.87638,0.0500924
5.88032,0.458354
6.20842,0.588054
5.80633,0.428886
5.56908,0.333805
5.94623,0.48453
4.20897,-0.23445
4.21348,-0.232479
5.70576,0.388696
6.75582,0.80139
7.11105,0.938123
7.0667,0.921117
7.19015,0.96841
7.18536,0.966578
6.62413,0.750379
6.06207,0.530388
5.63623,0.360811
5.63694,0.361096
5.22144,0.192662
5.90561,0.468407
7.03393,0.908538
6.44606,0.681101
6.8709,0.845819
6.87469,0.84728
4.81931,0.0262459
4.89776,0.0590041
4.52725,-0.0971333
4.54724,-0.0886143
3.93949,-0.353433
4.16511,-0.253635
4.36139,-0.16829
4.09407,-0.284852
4.10406,-0.280449
4.59234,-0.0694343
4.80215,0.0190572
4.33088,-0.181472
4.87067,0.0477079
4.29471,-0.197138
4.10152,-0.281569
5.71674,0.39309
6.09032,0.541544
4.57844,-0.0753381
5.9574,0.488962
5.86351,0.451665
4.97503,0.0911303
4.90993,0.0640735
5.12999,0.155133
5.12575,0.153392
5.65578,0.368661
5.7108,0.390712
4.32655,-0.183342
4.21015,-0.233933
4.9191,0.0678892
6.39265,0.660247
5.98651,0.5005
5.10588,0.145211
5.10941,0.146665
6.20536,0.586851
6.20559,0.586944
6.42952,0.674645
6.33098,0.63613
6.12428,0.554937
6.54362,0.719102
5.54704,0.324921
4.40643,-0.148883
4.40888,-0.147831
5.09728,0.141668
5.00362,0.102977
5.05733,0.125191
4.71242,-0.0186442
4.86482,0.045267
5.32653,0.235572
4.77929,0.00947255
4.81972,0.0264162
4.42573,-0.140588
4.38143,-0.159646
4.25291,-0.215297
4.80673,0.0209752
4.46495,-0.123763
4.76373,0.00293818
4.95228,0.0816857
5.04748,0.121121
5.04853,0.121555
5.62695,0.357083
5.47198,0.294609
5.47299,0.295019
4.87852,0.0509846
5.63037,0.358456
5.53949,0.321877
4.8126,0.0234347
4.99781,0.100572
5.00469,0.103421
4.78761,0.0129609
4.81406,0.0240484
4.41566,-0.144916
4.82347,0.0279859
4.21983,-0.22971
