raw_wind,normal_val
4.111,-0.120034
4.14621,-0.103653
4.10663,-0.122069
4.24283,-0.058924
3.87463,-0.23119
4.00766,-0.168369
4.1918,-0.0825096
4.02394,-0.160731
3.77566,-0.278393
3.995,-0.174321
3.71516,-0.307454
3.49263,-0.41581
3.63324,-0.347066
3.61091,-0.35792
3.5017,-0.411345
3.33323,-0.494979
3.46565,-0.429113
3.31156,-0.505856
3.64459,-0.34156
3.67673,-0.326
3.44765,-0.438014
3.2196,-0.552297
3.04256,-0.643216
3.12777,-0.5992
3.10945,-0.60862
3.77078,-0.280728
3.48048,-0.421797
3.96972,-0.186216
4.05094,-0.14808
3.52149,-0.401621
3.34962,-0.486774
3.73471,-0.298044
4.22192,-0.068578
4.20365,-0.077022
4.38402,0.00589132
4.67164,0.136091
4.43575,0.0294858
4.70698,0.151937
4.57462,0.0924339
4.69695,0.147443
4.40746,0.0165914
4.22748,-0.0660081
3.98604,-0.178534
3.95565,-0.192848
3.91396,-0.212546
3.51774,-0.403464
3.53053,-0.397183
3.80551,-0.264111
4.29034,-0.0370422
3.81074,-0.261611
4.34458,-0.01215
4.28448,-0.039738
4.20478,-0.0764993
4.21845,-0.0701783
3.97505,-0.183704
3.95986,-0.190863
4.29782,-0.0336044
4.40153,0.0138859
3.87594,-0.23057
3.67393,-0.327352
3.91809,-0.210591
4.52318,0.0691791
4.38601,0.00680322
3.37329,-0.474953
3.37428,-0.474458
3.90436,-0.217091
3.90743,-0.215637
3.55023,-0.387533
3.16713,-0.579033
4.28334,-0.0402591
3.93499,-0.2026
3.90951,-0.21465
3.38338,-0.469922
4.17857,-0.0886376
4.17232,-0.0915339
3.95016,-0.195438
3.77621,-0.278128
4.23274,-0.0635786
4.2685,-0.0470906
4.13072,-0.110855
3.7737,-0.279331
3.89811,-0.220052
3.03974,-0.64468
3.7965,-0.268416
4.16532,-0.0947803
3.07608,-0.62584
3.74033,-0.295341
3.68449,-0.322247
3.17909,-0.572924
3.81465,-0.259745
3.72073,-0.304769
3.53214,-0.396395
3.59544,-0.36545
3.62902,-0.349116
3.80268,-0.265466
4.05105,-0.148026
4.64415,0.123747
5.1071,0.329189
5.11054,0.330699
4.98197,0.274149
5.81637,0.635538
5.63001,0.555878
5.59744,0.541899
4.91641,0.245177
4.59075,0.099708
4.60021,0.103973
4.66695,0.133988
4.65504,0.128641
4.9239,0.248488
4.52763,0.0711949
3.99897,-0.17245
4.41606,0.0205132
4.1013,-0.124556
4.09278,-0.128528
4.21379,-0.0723344
4.37552,0.00200679
4.64513,0.124187
4.00983,-0.167353
4.48029,0.0497373
4.42961,0.0266895
4.1726,-0.0914066
3.82929,-0.252765
4.2603,-0.0508676
4.43958,0.0312275
3.65517,-0.336434
3.98127,-0.180778
4.9305,0.251412
6.17327,0.786702
5.92763,0.682851
5.02465,0.292964
4.62929,0.117068
4.58088,0.095258
4.37317,0.000935221
4.43447,0.0289015
3.73154,-0.299569
4.13404,-0.109313
4.7662,0.178408
4.84631,0.214082
4.87145,0.225249
4.69098,0.144768
4.79776,0.192481
6.5347,0.938166
4.40475,0.0153555
4.43847,0.0307258
4.56002,0.0858401
4.78342,0.186093
4.24567,-0.0576124
5.03824,0.298942
5.4816,0.492044
4.87638,0.227435
5.88032,0.662754
6.20842,0.801499
5.80633,0.63126
5.56908,0.529716
5.94623,0.69074
4.20897,-0.0745639
4.21348,-0.0724763
5.70576,0.588324
6.75582,1.03014
7.11105,1.17694
7.0667,1.15867
7.19015,1.20948
7.18536,1.20751
6.62413,0.975422
6.06207,0.739786
5.63623,0.558546
5.63694,0.558851
5.22144,0.379198
5.90561,0.673501
7.03393,1.14516
6.44606,0.901158
6.8709,1.07782
6.87469,1.07939
4.81931,0.20208
4.89776,0.236913
4.52725,0.0710247
4.54724,0.0800663
3.93949,-0.200475
4.16511,-0.0948809
4.36139,-0.00445447
4.09407,-0.127928
4.10406,-0.123268
4.59234,0.100427
4.80215,0.194437
4.33088,-0.0184287
4.87067,0.2249
4.29471,-0.0350331
4.10152,-0.124453
5.71674,0.593017
6.09032,0.751722
4.57844,0.0941592
5.9574,0.695478
5.86351,0.655604
4.97503,0.27109
4.90993,0.242305
5.12999,0.339222
5.12575,0.337367
5.65578,0.566928
5.7108,0.590477
4.32655,-0.0204111
4.21015,-0.074016
4.9191,0.246364
6.39265,0.878813
5.98651,0.707817
5.10588,0.328655
5.10941,0.330204
6.20536,0.800211
6.20559,0.800311
6.42952,0.89424
6.33098,0.852978
6.12428,0.766053
6.54362,0.941888
5.54704,0.520234
4.40643,0.0161234
4.40888,0.0172391
5.09728,0.324882
5.00362,0.283696
5.05733,0.30734
4.71242,0.154371
4.86482,0.222304
5.32653,0.42493
4.77929,0.184249
4.81972,0.202261
4.42573,0.0249206
4.38143,0.00470979
4.25291,-0.0542746
4.80673,0.196476
4.46495,0.042768
4.76373,0.177305
4.95228,0.261041
5.04748,0.303008
5.04853,0.30347
5.62695,0.554565
5.47198,0.48789
5.47299,0.488328
4.87852,0.228384
5.63037,0.556032
5.53949,0.516985
4.8126,0.199091
4.99781,0.281137
5.00469,0.284169
4.78761,0.187957
4.81406,0.199743
4.41566,0.0203306
4.82347,0.203929
4.21983,-0.0695434
4.07843,-0.135227
4.26749,-0.0475547
5.1375,0.342514
5.13899,0.343166
5.51227,0.505263
5.20431,0.371724
4.79911,0.193082
4.8272,0.20559
5.04768,0.303098
4.24704,-0.0569786
5.05675,0.307085
5.05753,0.307426
4.94931,0.259729
6.10763,0.759027
6.90232,1.09081
6.55843,0.948062
5.95335,0.693759
6.15941,0.780865
5.68869,0.581021
5.59517,0.540924
5.74259,0.604064
5.90029,0.671238
5.51987,0.508539
5.83755,0.644558
5.32411,0.423882
6.03894,0.730007
6.50839,0.92719
5.99827,0.712795
6.0526,0.735784
5.4382,0.473304
4.46657,0.0435019
4.37407,0.00134401
4.43539,0.0293196
4.87997,0.229028
4.50553,0.0611867
4.58877,0.0988171
4.58886,0.0988572
4.41353,0.0193599
4.93185,0.25201
5.43774,0.473102
5.43654,0.472587
5.59988,0.542948
5.03385,0.29701
4.74364,0.168333
6.42964,0.894291
6.12258,0.765335
5.60205,0.543879
6.18009,0.789575
7.00891,1.13484
6.30302,0.84125
6.65483,0.988192
6.92708,1.10105
6.62381,0.975291
5.95719,0.695391
5.80197,0.629403
5.58466,0.536412
5.0142,0.288361
5.93315,0.685193
5.46927,0.486719
6.64896,0.985753
6.53653,0.938931
7.04522,1.14982
7.09833,1.1717
6.83627,1.06348
6.67863,0.998089
6.37154,0.869974
6.67571,0.996875
6.58171,0.95776
6.26175,0.823923
6.04155,0.731113
6.28489,0.833641
5.98711,0.708072
5.78635,0.622741
4.94542,0.25801
4.64868,0.125783
4.46485,0.042721
3.70798,-0.310914
3.94378,-0.198448
3.74585,-0.292688
4.36582,-0.00242788
4.40567,0.0157783
4.17903,-0.088423
4.54967,0.0811631
5.25944,0.395759
5.27208,0.40126
4.77352,0.181674
3.76551,-0.283258
3.41382,-0.45478
4.55017,0.0813887
4.9888,0.277163
4.24025,-0.060111
4.28458,-0.0396921
3.77034,-0.280941
5.54079,0.517547
6.02417,0.723759
5.60567,0.545432
6.24996,0.818967
6.77735,1.03907
7.29912,1.25424
6.27717,0.8304
6.11383,0.761643
7.03624,1.14611
6.73209,1.02029
7.04441,1.14948
6.85155,1.06981
6.79265,1.04541
6.53721,0.939213
6.72588,1.01771
6.87073,1.07775
6.24734,0.817869
5.94065,0.688373
5.94052,0.688321
6.30335,0.841389
6.30325,0.841348
5.76596,0.614045
6.28334,0.832991
6.33048,0.852768
5.49996,0.49996
5.75476,0.609264
5.03293,0.296608
5.04319,0.301119
5.04226,0.300713
4.3916,0.00935578
4.1902,-0.08325
3.86143,-0.23746
3.8599,-0.238187
4.17725,-0.0892476
4.57649,0.0932771
4.55122,0.0818641
4.57518,0.0926859
4.57501,0.0926074
5.61629,0.549994
5.19207,0.366379
5.19207,0.366379
5.19207,0.366379
4.68239,0.140916
4.95555,0.262486
4.44419,0.0333281
3.88184,-0.227769
4.00269,-0.170704
4.55841,0.0851121
4.76011,0.17569
4.82931,0.206528
3.81648,-0.258876
4.78577,0.18714
3.92193,-0.208775
4.37288,0.000803573
4.51667,0.0662321
3.93536,-0.202426
4.09773,-0.126219
4.09751,-0.126321
4.09725,-0.126446
3.73353,-0.298614
3.86344,-0.236504
3.86297,-0.236729
4.7062,0.151587
5.34516,0.433017
3.96052,-0.190551
4.46307,0.0419118
4.43879,0.0308697
3.86493,-0.235799
4.4356,0.0294154
4.01246,-0.166117
3.69477,-0.317283
3.69477,-0.317283
3.45772,-0.433034
3.83512,-0.249986
4.11915,-0.116241
4.05887,-0.144368
3.98754,-0.177829
3.6078,-0.359432
3.2046,-0.559925
3.26014,-0.531762
3.37219,-0.475501
3.33455,-0.494319
3.55611,-0.384654
3.31895,-0.502144
3.36383,-0.479674
3.35867,-0.482254
3.97116,-0.185539
4.1002,-0.125067
4.15617,-0.0990272
4.02224,-0.161526
3.96924,-0.18644
4.26132,-0.0503978
4.82669,0.205359
4.123,-0.114446
3.86874,-0.233986
3.98458,-0.179219
