W_Rated,Ls,Lt,Strategy,Global_RMSE_Mean,Global_RMSE_SEM,Global_RMSE_Median,Global_RMSE_Q25,Global_RMSE_Q75,Mean_Clarity_Deficit,Final_Deficit_Mean,Final_Deficit_Median,Final_Deficit_Q25,Final_Deficit_Q75,Error_Mean,Error_Std,Proportion_In_Target_Range
0.00,1.00,120.00,transect,0.783053,0.025617,0.745003,0.706598,0.799180,0.101273,0.078259,0.081919,0.065934,0.096695,0.066950,1.148099,0.608493
0.00,1.00,120.00,ergo_nonadaptive,0.765560,0.016146,0.759926,0.705679,0.807254,0.088733,0.069709,0.075982,0.052688,0.090300,0.065182,1.112237,0.644110
0.00,1.00,120.00,ergo_adaptive,0.767008,0.015312,0.752055,0.707691,0.820036,0.091518,0.068872,0.081678,0.051871,0.089567,0.057861,0.957715,0.723891
0.00,1.00,120.00,bb_ipp,0.794092,0.017787,0.765478,0.740554,0.845778,0.095961,0.072231,0.078311,0.050857,0.097811,0.047626,0.892931,0.762864
0.50,1.00,120.00,transect,0.783053,0.025617,0.745003,0.706598,0.799180,0.076748,0.056154,0.055453,0.025833,0.085444,-0.433050,1.148099,0.578084
0.50,1.00,120.00,ergo_nonadaptive,0.765560,0.016146,0.759926,0.705679,0.807254,0.066962,0.054965,0.048770,0.037784,0.079398,-0.434818,1.112237,0.599391
0.50,1.00,120.00,ergo_adaptive,0.767511,0.015947,0.746619,0.701001,0.830755,0.068861,0.050511,0.045228,0.031520,0.080132,-0.271310,0.999136,0.677582
0.50,1.00,120.00,bb_ipp,0.800101,0.022360,0.761727,0.717389,0.832012,0.071280,0.045084,0.040354,0.019449,0.069537,-0.297530,0.955110,0.707136
1.00,1.00,120.00,transect,0.783053,0.025617,0.745003,0.706598,0.799180,0.041121,0.033128,0.016752,0.002613,0.062745,-0.933050,1.148099,0.477636
1.00,1.00,120.00,ergo_nonadaptive,0.765560,0.016146,0.759926,0.705679,0.807254,0.035292,0.031338,0.019727,0.008743,0.048551,-0.934818,1.112237,0.471781
1.00,1.00,120.00,ergo_adaptive,0.776094,0.025024,0.732636,0.714001,0.800826,0.034267,0.027339,0.015678,0.006768,0.036345,-0.664955,1.047568,0.592147
1.00,1.00,120.00,bb_ipp,0.817185,0.024218,0.779817,0.760215,0.856525,0.031899,0.021033,0.007063,0.000084,0.034894,-0.750424,1.110461,0.552056
1.50,1.00,120.00,transect,0.783053,0.025617,0.745003,0.706598,0.799180,0.016820,0.016054,0.002533,0.000000,0.033629,-1.433050,1.148099,0.341125
1.50,1.00,120.00,ergo_nonadaptive,0.765560,0.016146,0.759926,0.705679,0.807254,0.014629,0.013354,0.001620,0.000020,0.016865,-1.434818,1.112237,0.314943
1.50,1.00,120.00,ergo_adaptive,0.777269,0.019746,0.759272,0.717284,0.826319,0.013171,0.011185,0.000660,0.000006,0.011634,-1.178713,1.178837,0.412135
1.50,1.00,120.00,bb_ipp,0.832273,0.024532,0.797560,0.766603,0.865151,0.012065,0.008792,0.001776,0.000000,0.004848,-1.209603,1.181864,0.413469
